2019/6/5,DEBIT_BCA,NEW,500000,500000,500000,0
2019/6/5,OVO,NEW,25000,25000,525000,0
2019/6/5,GOPAY,NEW,75000,75000,600000,0
2019/6/5,MEGA_CREDIT,NEW,300000,300000,600000,300000
2019/6/5,PERMATA_BANK,NEW,600000,600000,1.2e+006,300000
2019/6/5,WALLET,NEW,350000,350000,1.55e+006,300000
2019/6/5,MEGA_CREDIT,PAY,300000,600000,1.55e+006,600000
2019/6/5,WALLET,DEP,400000,750000,1.95e+006,600000
2019/6/5,DANA,NEW,70000,70000,2.02e+006,600000
2019/6/5,DEBIT_MANDIRI,NEW,800000,800000,2.82e+006,600000
2019/6/5,MANDIRI_VISA,NEW,900000,900000,2.82e+006,1.5e+006
2019/6/5,DEBIT_MANDIRI,TRF,200000,600000,2.62e+006,1.5e+006
2019/6/5,GOPAY,TRF,200000,275000,2.82e+006,1.5e+006
2019/6/5,WALLET,TRF,75000,675000,2.745e+006,1.5e+006
2019/6/5,DANA,TRF,75000,145000,2.82e+006,1.5e+006
2019/6/5,DEBIT_MANDIRI,CRE,600000,0,2.22e+006,1.5e+006
2019/6/5,MEGA_CREDIT,CRE,600000,0,2.22e+006,900000
2019/6/27,DEBIT_PERMATA,NEW,50000,50000,2.27e+006,900000
2019/6/27,CREDIT_PERMATA,NEW,50000,50000,2.27e+006,950000
2019/6/27,DEBIT_BCA,PAY,25000,475000,2.245e+006,950000
2019/6/27,OVO,DEP,500000,525000,2.745e+006,950000
2019/6/27,DEBIT_BCA,TRF,100000,375000,2.645e+006,950000
2019/6/27,DEBIT_PERMATA,TRF,100000,150000,2.745e+006,950000
2019/6/27,DEBIT_PERMATA,CRE,50000,100000,2.695e+006,950000
2019/6/27,CREDIT_PERMATA,CRE,50000,0,2.695e+006,900000
2019/6/28,DEBIT_WELY,NEW,1e+006,1e+006,3.695e+006,900000
2019/6/28,DEBIT_WELY,PAY,500000,500000,3.195e+006,900000
2019/6/28,DEBIT_WELY,PAY,500000,0,2.695e+006,900000
